sku,ean13,categoria,familia,color,control,potencia_w,corriente_a,flujo_lm,angulo,cct,ip,ubicacion,tension_v,medidas_mm,peso_g,garantia_anios,marca,proveedor,linea,precio_ars
RMS-ELI-E-S,7428325586581,Acople/Conductor,Conductor I (Embutir/Bold),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-ETLL-E-S,7428325586598,Acople/Conductor,Conductor L (Embutir/Bold),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-ETLT-E-S,7428325586604,Acople/Conductor,Conductor T (Embutir/Bold),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-ETLX-E-S,7428325586611,Acople/Conductor,Conductor X (Embutir/Bold),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-AR-S,7428325586543,Acople/Conductor,Acoplador (Bold),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CL-S,7428325586543,Acople/Conductor,Conector Tipo L (Bold),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-S,7428325586628,Acople/Conductor,Kit Suspender (Bold),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-A-S,7428325593770,Acople/Conductor,Kit Aplicar (Bold),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CD114-B-6W-WW,7428325584891,Módulo lineal,Módulo Difuso,Blanco,Dimeable,6W,1.13A,240,90°,2200K (cálida),20,Interior,DC48V,114.5*25*27.5,75,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CD114-B-6W,7428325585874,Módulo lineal,Módulo Difuso,Blanco,Smart,6W,1.13A,240,90°,2000-5000K (dinámico),20,Interior,DC48V,114.5*25*27.5,75,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CD222-B-12W-WW,7428325584907,Módulo lineal,Módulo Difuso,Blanco,Dimeable,12W,0.25A,500,90°,2200K (cálida),20,Interior,DC48V,222.3*25*27.5,133,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CD222-B-12W,7428325585881,Módulo lineal,Módulo Difuso,Blanco,Smart,12W,0.25A,500,90°,2000-5000K (dinámico),20,Interior,DC48V,222.3*25*27.5,133,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CD330-B-16W-WW,7428325584914,Módulo lineal,Módulo Difuso,Blanco,Dimeable,16W,0.37A,640,90°,2200K (cálida),20,Interior,DC48V,330*25*27.5,200,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CD330-B-16W,7428325585898,Módulo lineal,Módulo Difuso,Blanco,Smart,16W,0.37A,640,90°,2000-5000K (dinámico),20,Interior,DC48V,330*25*27.5,200,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CD114-N-6W-WW,7428325584297,Módulo lineal,Módulo Difuso,Negro,Dimeable,6W,1.13A,240,90°,2200K (cálida),20,Interior,DC48V,114.5*25*27.5,75,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CD114-N-6W,7428325585416,Módulo lineal,Módulo Difuso,Negro,Smart,6W,1.13A,240,90°,2000-5000K (dinámico),20,Interior,DC48V,114.5*25*27.5,75,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CD222-N-12W-WW,7428325584303,Módulo lineal,Módulo Difuso,Negro,Dimeable,12W,0.25A,500,90°,2200K (cálida),20,Interior,DC48V,222.3*25*27.5,133,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CD222-N-12W,7428325585423,Módulo lineal,Módulo Difuso,Negro,Smart,12W,0.25A,500,90°,2000-5000K (dinámico),20,Interior,DC48V,222.3*25*27.5,133,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CD330-N-16W-WW,7428325584310,Módulo lineal,Módulo Difuso,Negro,Dimeable,16W,0.37A,640,90°,2200K (cálida),20,Interior,DC48V,330*25*27.5,200,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CD330-N-16W,7428325585430,Módulo lineal,Módulo Difuso,Negro,Smart,16W,0.37A,640,90°,2000-5000K (dinámico),20,Interior,DC48V,330*25*27.5,200,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CP114-B-6W-WW,7428325584952,Módulo lineal,Módulo Panal,Blanco,Dimeable,6W,1.13A,70,60°,2200K (cálida),20,Interior,DC48V,114.5*25*27.5,75,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CP114-B-6W,7428325585935,Módulo lineal,Módulo Panal,Blanco,Smart,6W,1.13A,70,60°,2000-5000K (dinámico),20,Interior,DC48V,114.5*25*27.5,75,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CP222-B-12W-WW,7428325584969,Módulo lineal,Módulo Panal,Blanco,Dimeable,12W,0.25A,160,60°,2200K (cálida),20,Interior,DC48V,222.3*25*27.5,137,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CP222-B-12W,7428325585942,Módulo lineal,Módulo Panal,Blanco,Smart,12W,0.25A,160,60°,2000-5000K (dinámico),20,Interior,DC48V,222.3*25*27.5,137,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CP330-B-16W-WW,7428325584976,Módulo lineal,Módulo Panal,Blanco,Dimeable,16W,0.37A,210,60°,2200K (cálida),20,Interior,DC48V,330*25*27.5,200,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CP330-B-16W,7428325585959,Módulo lineal,Módulo Panal,Blanco,Smart,16W,0.37A,210,60°,2000-5000K (dinámico),20,Interior,DC48V,330*25*27.5,200,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CP114-N-6W-WW,7428325584358,Módulo lineal,Módulo Panal,Negro,Dimeable,6W,1.13A,70,60°,2200K (cálida),20,Interior,DC48V,114.5*25*27.5,75,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CP114-N-6W,7428325585492,Módulo lineal,Módulo Panal,Negro,Smart,6W,1.13A,70,60°,2000-5000K (dinámico),20,Interior,DC48V,114.5*25*27.5,75,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
