sku,medidas,colores_banos,material,ubicacion,marca,proveedor,nombre_pendiente_OCR,potencia_pendiente_OCR,tono_luz_pendiente_OCR
P-142,30cm. de diámetro · Bajada con cable,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipa de 15cm. opal o transparente",,,Perfecta,MAZ Iluminación,,,
P-143,,"Negro, blanco u óxido · Incluye · Portalámparas E27 · Tulipas de 15cm. transparente u opal",: hierro · 30cm. de altura x 13cm. de profundidad,,Perfecta,MAZ Iluminación,,,
P-144,"Modelo plano: 60cm. de diámetro · Modelo curvo: 60cm. x 25cm. · Chapa de bronce, florón de 12cm. de diámetro","Bronce · Incluye · Portalámparas E27 · (Puede incluír tulipa de 15cm. opal, consultar)",,,Perfecta,MAZ Iluminación,,,
P-145,"Modelo plano: 60cm. de diámetro · Modelo curvo: 60cm. x 25cm. · Chapa de bronce, florón de 12cm. de diámetro","Bronce · Incluye · Portalámparas E27 · (Puede incluír tulipa de 15cm. opal, consultar)",,,Perfecta,MAZ Iluminación,,,
P-146,"Modelo plano: 80cm. de diámetro · Modelo curvo: 80cm. x 35cm. · Chapa de bronce, florón de 12cm. de diámetro","Bronce · Incluye · Portalámparas E27 · (Puede incluír tulipa de 18cm. opal, consultar)",,,Perfecta,MAZ Iluminación,,,
P-147,"Modelo plano: 80cm. de diámetro · Modelo curvo: 80cm. x 35cm. · Chapa de bronce, florón de 12cm. de diámetro","Bronce · Incluye · Portalámparas E27 · (Puede incluír tulipa de 18cm. opal, consultar)",,,Perfecta,MAZ Iluminación,,,
P-148,"Modelo plano: 1mt. de diámetro · Modelo curvo: 1mt. x 45cm. · Chapa de bronce, florón de 12cm. de diámetro","Bronce · Incluye · Portalámparas E27 · (Puede incluír tulipa de 18cm. opal, consultar)",,,Perfecta,MAZ Iluminación,,,
P-149,"Modelo plano: 1mt. de diámetro · Modelo curvo: 1mt. x 45cm. · Chapa de bronce, florón de 12cm. de diámetro","Bronce · Incluye · Portalámparas E27 · (Puede incluír tulipa de 18cm. opal, consultar)",,,Perfecta,MAZ Iluminación,,,
P-151,,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27",: hierro · 30cm. de diámetro,,Perfecta,MAZ Iluminación,,,
P-152,,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27",: hierro · 30cm. de diámetro,,Perfecta,MAZ Iluminación,,,
P-153,"1,90mts. de altura · Base de madera de 40cm. de diámetro · 85cm. del piso a la mesa",Negro o banco · Madera de lenga en color lustrado natural · o wengue teñida · Incluye · Tulipa de 15cm. transparente u opal,,,Perfecta,MAZ Iluminación,,,
P-154,,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · 2 tulipas de 15cm. transparentes u opales",": hierro · Base de 16cm. de diámetro, 50cm. de altura",,Perfecta,MAZ Iluminación,,,
P-155,,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · 2 tulipas de 15cm. transparentes u opales",": hierro · Base de 16cm. de diámetro, 50cm. de altura",,Perfecta,MAZ Iluminación,,,
P-156,,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · 2 tulipas de 15cm. transparentes u opales",": hierro · Base de 16cm. de diámetro, 50cm. de altura",,Perfecta,MAZ Iluminación,,,
P-157,,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipas de 15cm. transparente u opal",: metal · 40cm. de alto x 20cm. de ancho · Florón de 12cm. de diámetro · Distancia desde la pared hasta el frente de la tulipa de · 25cm. totales,,Perfecta,MAZ Iluminación,,,
P-158,,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipas de 15cm. transparente u opal",: metal · 40cm. de alto x 20cm. de ancho · Florón de 12cm. de diámetro · Distancia desde la pared hasta el frente de la tulipa de · 25cm. totales,,Perfecta,MAZ Iluminación,,,
P-159,Caño de 70cm. de largo y barral de 40cm. · Caño de 10cm. en la mitad hacia abajo,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · 3 Zócalos G9 · Tulipas de 10cm. opal o transparente",,,Perfecta,MAZ Iluminación,,,
P-160,Caño de 70cm. de largo y barral de 40cm. · Caño de 10cm. en la mitad hacia abajo,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · 3 Zócalos G9 · Tulipas de 10cm. opal o transparente",,,Perfecta,MAZ Iluminación,,,
P-161,,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipa de 15cm. transparente u opal",: hierro · 25cm. de profundidad x 25cm. de altura,,Perfecta,MAZ Iluminación,,,
P-162,,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipa de 15cm. transparente u opal",: hierro · 25cm. de profundidad x 25cm. de altura,,Perfecta,MAZ Iluminación,,,
P-163,60cm. de diámetro x 30cm. de profundidad · 80cm. de diámetro x 40cm. de profundidad · 1mt. de diámetro x 50cm. de profundidad · Bajada con cable y tensor de 1.50mts.,"Negro con interior bronce, cobre o blanco · Blanco con interior bronce, cobre o blanco integro · Consultar por más combinaciones · Incluye · 1 portalámparas E27 en version de 60cms · 3 portalámparas E27 en 80cms o 1mt. · Florón de 12cm. de diámetro",,,Perfecta,MAZ Iluminación,,,
P-165,"Caño superior de 25cm., caño inclinado de 20cm. · Altura total de 42cm. Bajada de 1,5mts. con cable","Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipa de 15cm. opal o transparente",,,Perfecta,MAZ Iluminación,,,
P-166,"Caño superior de 25cm., caño inclinado de 20cm. · Altura total de 42cm. Bajada de 1,5mts. con cable","Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipa de 15cm. opal o transparente",,,Perfecta,MAZ Iluminación,,,
P-168,Pantalla: 45 cm de diámetro.,"Blanco, negro, gris, ladrillo, verde seco o · beige. · Contrapeso bañado en bronce · Poleas torneadas en madera · Incluye · Tulipa opal de 18 cm. · Portalamparas E27",,,Perfecta,MAZ Iluminación,,,
P-169,Opción 40cm. de diámetro y 2 luces · Opción 60cm. de diámetro y 4 luces · Opción 70cm. de diámetro y 4 luces · Opción 80cm. de diámetro y 4 luces · Opción 1mt. de diámetro y 6 luces,,"Resina blanca, marfil y cálido · Incluye · Portalámparas E27",,Perfecta,MAZ Iluminación,,,
P-171,60cm. de diámetro y 40cm. de ancho,"Negro, blanco, gris o beige · Consultar por otras combinaciones","Resina + fibra de vidrio en armado intero, piedra en · exterior",,Perfecta,MAZ Iluminación,,,
P-173,20cm. de diámetro · Dsiponible en versión plafón de techo de 40cm.,"Negro con interior blanco, gris interior bronce, negro · interior bronce, blanco interior plata (consultar por otros · colores) · Incluye · Tulipa de 10cm. de diámetro opal o transparente · Zocalo G9 en modelo aplique · Tulipa de 15cm. de diametro opal o transparente · Portalampara E27 en modelo plafón",,,Perfecta,MAZ Iluminación,,,
P-174,20cm. de diámetro · Dsiponible en versión plafón de techo de 40cm.,"Negro con interior blanco, gris interior bronce, negro · interior bronce, blanco interior plata (consultar por otros · colores) · Incluye · Tulipa de 10cm. de diámetro opal o transparente · Zocalo G9 en modelo aplique · Tulipa de 15cm. de diametro opal o transparente · Portalampara E27 en modelo plafón",,,Perfecta,MAZ Iluminación,,,
P-175,30cm. de largo x 8cm. de diámetro · 2 zócalos G9,"Roble claro, peteribí y ébano",Enchapado en madera natural lustrada,,Perfecta,MAZ Iluminación,,,
P-176,30cm. de diámetro · 40cm. de diámetro · 60cm. de diámetro · TIRA LED 220,"Ladrillo, verde seco, negro, blanco, beige o gris con detalles · en bronce.",,,Perfecta,MAZ Iluminación,,,
P-177,30cm. de diámetro · 40cm. de diámetro · 60cm. de diámetro · TIRA LED 220,"Ladrillo, verde seco, negro, blanco, beige o gris con detalles · en bronce.",,,Perfecta,MAZ Iluminación,,,
P-178,30cm. de diámetro · 40cm. de diámetro · 60cm. de diámetro · TIRA LED 220,"Ladrillo, verde seco, negro, blanco, beige o gris con detalles · en bronce.",,,Perfecta,MAZ Iluminación,,,
P-179,30cm. de diámetro con 2 zócalos G9 · 40cm. de diámetro con 3 zócalos G9 · 60cm. de diámetro con 5 zócalos G9,"Ladrillo, verde seco, negro, blanco, beige o gris con detalles · en bronce. · Interior: Blanco",,,Perfecta,MAZ Iluminación,,,
P-180,30cm. de diámetro con 2 zócalos G9 · 40cm. de diámetro con 3 zócalos G9 · 60cm. de diámetro con 5 zócalos G9,"Ladrillo, verde seco, negro, blanco, beige o gris con detalles · en bronce. · Interior: Blanco",,,Perfecta,MAZ Iluminación,,,
P-181,30cm. de diámetro con 2 zócalos G9 · 40cm. de diámetro con 3 zócalos G9 · 60cm. de diámetro con 5 zócalos G9,"Ladrillo, verde seco, negro, blanco, beige o gris con detalles · en bronce. · Interior: Blanco",,,Perfecta,MAZ Iluminación,,,
P-184,37cm. de diámetro x 19cm. de altura,"Negro, blanco, beige, gris, con detalles en bronce · Interior: Blanco · Incluye · 3 zócalos G9.",,,Perfecta,MAZ Iluminación,,,
P-186,"Altura de 160cm. regulable, distintas posiciones · Diámetro de la pantalla de 22cm.","Negro, blanco u óxido · Incluye · 1 portalámparas E27",,,Perfecta,MAZ Iluminación,,,
P-187,"1.2mts. de ancho y bajada de 60cm. · Electricidad 220W, florón 12cm. de diámetro","Negro con terminaciones en bronce, cromo o cobre · Baño: cobre, bronce, níquel o cromo · Incluye · 16 portalámparas E27",,,Perfecta,MAZ Iluminación,,,
P-188,1.20mts o 1.60mts · Tira LED 220,"Roble claro, petiribí y ébano · Detalles en bronce",Enchapado en madera natural lustrada,,Perfecta,MAZ Iluminación,,,
P-193,,"Baño en bronce, cromo o cobre · Incluye · 2 zócalos G9",: hierro · 53cm. de largo x 8cm. de diámetro · Florón de 12cm. de diámetro,,Perfecta,MAZ Iluminación,,,
P-194,30cm. de diámetro con 2 zócalos G9 · 40cm. de diámetro con 3 zócalos G9 · 60cm. de diámetro con 5 zócalos G9,"Ladrillo, verde seco, negro, blanco, beige o gris con detalles · en bronce. · Interior: Blanco",,,Perfecta,MAZ Iluminación,,,
P-195,30cm. de diámetro con 2 zócalos G9 · 40cm. de diámetro con 3 zócalos G9 · 60cm. de diámetro con 5 zócalos G9,"Ladrillo, verde seco, negro, blanco, beige o gris con detalles · en bronce. · Interior: Blanco",,,Perfecta,MAZ Iluminación,,,
P-196,30cm. de diámetro con 2 zócalos G9 · 40cm. de diámetro con 3 zócalos G9 · 60cm. de diámetro con 5 zócalos G9,"Ladrillo, verde seco, negro, blanco, beige o gris con detalles · en bronce. · Interior: Blanco",,,Perfecta,MAZ Iluminación,,,
